lane,addr
53,44808
53,45064
53,45352
53,46440
53,46568
53,47528
53,49704
53,50792
53,50920
53,51880
54,44448
54,44704
54,44960
54,45216
54,45440
54,46528
54,46656
54,47616
54,49792
54,50880
54,51008
54,51968
55,44456
55,44712
55,44968
55,45224
55,45448
55,46536
55,46664
55,47624
55,49800
55,50888
55,51016
55,51976
56,44592
56,44848
56,45104
56,45360
56,45584
56,46672
56,46800
56,47760
56,49936
56,51024
56,51152
56,52112
57,44584
57,44840
57,45096
57,45352
57,45576
57,46664
57,46792
57,47752
57,49928
57,51016
57,51144
57,52104
58,44720
58,44976
58,45232
58,45488
58,45712
58,46800
58,46928
58,47888
58,50064
58,51152
58,51280
58,52240
59,44712
59,44968
59,45224
59,45480
59,45704
59,46792
59,46920
59,47880
59,50056
59,51144
59,51272
59,52232
60,44832
60,45088
60,45344
60,45600
60,45824
60,46912
60,47040
60,48000
60,50176
60,51264
60,51392
60,52352
61,44840
61,45096
61,45352
61,45608
61,45832
61,46920
61,47048
61,48008
61,50184
61,51272
61,51400
61,52360
62,44960
62,45216
62,45472
62,45728
62,45952
62,47040
62,47168
62,48128
62,50304
62,51392
62,51520
62,52480
63,44968
63,45224
63,45480
63,45736
63,45960
63,47048
63,47176
63,48136
63,50312
63,51400
63,51528
63,52488
